,team,rank,possession,goals,assists,expected_goals,expected_assists,progressive_carries,progressive_passes,penalty_kicks,penalty_kick_attempts,win,draw,loss,conceded,points,annual_normalized,touches,deffensive_touches,middle_touches,attacking_touches,attempted_take_ons,successful_take_ons,carries,total_distance_carried,defensive_involvement_defense,ball_progression_defense,attacking_involvement_defense,ball_carrying_defense,central_connectivity_defense,defensive_involvement_midfield,ball_progression_midfield,attacking_involvement_midfield,ball_carrying_midfield,central_connectivity_midfield,defensive_involvement_forward,ball_progression_forward,attacking_involvement_forward,ball_carrying_forward,central_connectivity_forward,tier,roi
0,Liverpool,1,57.4,84,64,80.0,59.6,801,1846,9,9,25,9,4,41,84,175.795,25092,7133,11187,6995,661,295,14444,73791,28.926102319864803,9.194960823475189,13.692195421723767,258.8208634198802,94.74957750806576,11.861743154647128,10.603548013883534,20.307269571924415,208.7996529116853,79.42248360971847,4.841366687004271,17.62660158633313,26.579926784624767,202.5594874923734,45.51250762660158,Top 7,0.47782928979777584
1,Arsenal,2,56.8,65,53,57.6,43.2,830,1764,2,2,20,14,4,34,74,272.028,23363,5960,10107,7471,706,310,13816,73408,21.26312538604077,7.747838171710932,12.845429277331684,212.45058678196418,84.26729462631253,10.6813385589388,12.273138378052456,23.280976786252634,246.1682242990654,75.07687669580946,5.548465797128648,16.8058553063714,27.272778455475276,202.8610303087173,43.517875574739605,Top 7,0.272030820356728
2,Manchester City,3,61.6,69,51,65.2,52.5,1112,1890,2,3,21,8,9,44,71,270.993,27459,6350,11762,9571,780,370,17678,101274,22.72830483218619,10.588235294117645,19.901156602568655,338.42758816433695,103.88987440573334,10.679611650485437,13.276699029126215,32.55097087378641,308.6731391585761,92.59708737864077,4.171102167986499,17.782682071920032,30.473581721407246,262.33545371933013,45.9989614435934,Top 7,0.2619993874380519
3,Chelsea,4,57.3,60,46,66.7,51.6,848,1573,4,5,20,9,9,43,69,198.519,24671,7379,11139,6367,769,322,14242,76825,29.10414052697616,6.7151819322459225,10.726223337515686,233.2095357590966,92.54454203262233,11.101901511457825,11.154558751828377,19.971136031204292,229.252072159922,79.5387615797172,6.058401639344263,16.08196721311475,25.255327868852458,227.1485655737705,46.01434426229508,Top 7,0.34757378386955406
4,Newcastle Utd,5,50.9,66,50,62.6,45.2,727,1541,5,6,20,6,12,47,66,136.402,22350,7319,9347,5905,644,277,12632,68484,29.635135135135133,7.087837837837839,10.92364864864865,215.4527027027027,74.01351351351352,12.44886031560491,9.985388661601402,17.193454120397426,208.1239041496201,68.37229690239626,6.005595275101026,14.995337270749145,23.378924463786138,199.2011190550202,45.65744482437053,Top 7,0.48386387296373956
5,Aston Villa,6,51.0,56,45,55.7,41.5,709,1326,3,6,19,9,10,51,66,129.501,21291,7113,9119,5275,706,317,12118,67517,25.755416606078235,7.152101206921623,11.023920314090446,236.64752072124475,68.55678348116912,12.906044407894738,8.678042763157894,14.652754934210526,190.7411595394737,73.75411184210526,6.54218671992012,11.790314528207688,18.86090863704443,163.84223664503244,39.26210683974039,Top 7,0.5096485741422846
6,Nott'ham Forest,7,40.9,57,42,44.3,32.1,610,1079,3,3,19,8,11,46,65,83.86,18416,6288,7448,4910,570,257,8513,48176,22.41585155350978,5.139528193325662,8.089254890678943,131.34925201380898,43.28466628308401,12.609741431148528,8.000601322910404,16.18159951894167,157.26999398677088,61.352976548406495,5.561853951317105,10.583527842614204,19.65355118372791,149.20973657885963,36.5621873957986,Top 7,0.7751013594085381
7,Brighton,8,52.0,60,40,56.5,39.7,798,1478,6,6,16,13,9,59,61,71.461,22986,7355,9983,5913,777,328,13554,74918,27.665089188205318,8.36112122315253,10.691882053148888,268.2570076447033,82.81179468511104,12.512546716497598,8.908702616123865,16.84484783769354,195.40523224773088,62.005339028296845,6.517661769302907,13.869959362300719,23.821819318537038,200.05939356048768,44.40450140668959,Mid 8-14,0.8536124599431858
8,Bournemouth,9,48.1,55,39,62.4,42.6,732,1438,6,7,15,11,12,46,56,79.994,20971,6300,9029,5902,651,284,11283,66571,23.40191036002939,7.5679647318148415,9.620132255694342,226.52461425422482,65.20205731080088,11.782655773206024,9.089477310758932,16.928930012796535,175.40210650654592,59.46254552613446,6.829426480126008,12.808301677012878,23.669508014453815,191.39905494301863,43.911794681738165,Mid 8-14,0.7000525039377954
9,Brentford,10,47.8,64,43,57.6,41.3,579,1318,5,6,16,8,14,57,56,59.578,20864,8064,7830,5166,609,262,11008,60063,25.956112852664578,6.424907381020233,8.824950128241664,184.5974636648618,55.25933314334568,15.772557499508551,8.828386082170237,15.929133084332612,171.3839197955573,62.1967760959308,7.118362831858407,11.926991150442479,21.436725663716818,159.56084070796462,38.38938053097345,Mid 8-14,0.9399442747322837
10,Fulham,11,52.4,53,44,47.8,36.9,773,1524,3,4,15,9,14,54,54,105.693,23328,7797,9590,6184,623,281,13741,72323,28.1107903284013,8.29032840129917,12.48745940093829,224.82136412847345,70.47997112955612,11.399805131536214,9.490094186424164,18.203637544657358,205.52776875608964,68.60344267619357,7.03633079084705,13.91007627458852,23.520674427940587,203.97230028101163,51.846647932557204,Mid 8-14,0.5109136839715024
11,Crystal Palace,12,43.1,48,37,58.7,44.7,491,1140,3,4,13,14,11,51,53,90.741,19925,7445,8276,4393,479,200,10028,50667,22.364027450578714,5.683191641913346,7.564222062890504,136.29519614872478,47.91303902488989,11.564580559254328,8.934753661784288,15.96138482023968,156.11850865512648,55.133155792276966,2.528579732609959,9.172640961054059,10.25382677775625,78.59523348188335,23.855841891106373,Mid 8-14,0.5840799638531645
12,Everton,13,41.1,38,26,40.6,31.5,474,1027,2,2,11,15,12,44,48,108.31,18989,6745,7761,4689,622,274,9338,49840,22.929634641407308,4.769959404600812,8.148849797023002,133.24086603518268,50.30446549391068,10.915733073550902,6.847540185094983,14.04227959084267,146.68290306868,54.16658548465661,7.594810379241517,9.441117764471059,18.336327345309382,145.5888223552894,39.06187624750499,Mid 8-14,0.4431723755885883
13,West Ham,14,48.2,40,26,45.9,33.0,617,1192,3,3,11,10,17,62,43,136.816,22119,8082,9479,4769,776,334,11298,57335,28.013980263157897,6.803042763157896,9.734580592105264,188.59169407894734,65.99506578947368,16.04199426510036,6.684858014984738,13.268985292757376,161.33567662565906,76.35556377763389,6.7067562787407144,11.864166961443225,19.987619384506544,173.32507958967102,43.14821365405023,Mid 8-14,0.3142907262308502
14,Manchester Utd,15,53.2,40,28,49.7,37.9,669,1379,3,3,11,9,18,54,42,246.826,23978,8418,10137,5646,614,252,14601,72739,29.640221402214024,6.932656826568266,9.91921454928835,242.37612018977333,73.8929889298893,13.48935226264419,12.238243123336291,22.504658385093165,229.33895297249333,72.66415261756877,5.176422598409137,8.82928819090353,17.243728329594127,141.39710381399144,45.33958800734244,Mid 8-14,0.17016035587823
15,Wolves,16,48.1,52,41,42.6,34.6,587,1148,0,0,12,6,20,69,42,62.262,21741,7610,9835,4559,704,310,12101,65076,25.682396336809973,6.576570847112693,9.855698295599087,209.854998728059,67.56296107860595,12.125658640698994,9.418395251117188,15.893617021276597,199.17294737544188,62.76529046888548,3.3033971105037097,5.517376024990238,11.431862553689966,53.48691917219836,30.714564623194065,Bottom 5,0.674568757829816
16,Tottenham,17,55.2,60,47,56.8,43.1,827,1582,2,3,11,5,22,65,38,130.038,23886,7914,10033,6174,798,303,14833,81603,31.40957252466204,7.957617829740592,11.99956156375594,273.8341249543295,81.26635001826817,13.894150961820134,11.37193633434235,19.776096084366763,270.08788204276925,75.93887315691828,5.790035207510936,14.143817347700843,21.738077456524056,180.931398698389,41.682492265016535,Bottom 5,0.2922222734892877
17,Leicester City,18,45.6,33,25,32.4,25.0,569,1068,2,3,6,7,25,80,25,93.981,21309,7855,9685,3976,627,259,12065,60544,28.162229739667595,4.633034269745551,6.836372996028826,186.59214590380938,67.41064862479776,14.647342995169083,7.980676328502415,10.956521739130435,185.58454106280192,71.33333333333334,7.488081725312146,10.12372304199773,16.20817253121453,163.266742338252,39.667423382519864,Bottom 5,0.2660112150328258
18,Ipswich Town,19,40.5,34,25,33.6,23.7,488,896,2,2,4,10,24,82,22,50.035,18531,7601,7286,3850,626,270,9052,51629,26.899214022396883,4.256799054044655,7.374904361132364,140.41176879738472,50.09876886694025,13.218891307988612,7.144531904203651,13.614553676101156,181.7409144196952,57.20901021604422,6.449022875321921,8.43963035903651,13.93152552643539,140.25602181487653,32.04059990910468,Bottom 5,0.4396922154491856
19,Southampton,20,48.8,24,15,32.0,24.5,628,1114,0,2,2,6,30,86,12,67.475,22284,8220,9579,4682,715,298,12454,65799,27.953970826580225,7.013290113452188,10.807585089141007,218.34554294975692,75.97341977309563,13.639839231447898,7.966865993530046,12.972845799431429,181.43809430447993,62.12038035486717,6.781789638932496,8.92283540635189,15.710059171597633,158.64388358893854,40.52771404419756,Bottom 5,0.1778436457947388
